Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","ExscriboStack/ExscriboNetwork/VPCEndpointSecurityGroup/Resource","UNKNOWN","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-IAM4","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] API Lambda function requires exection and VPC access","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] API Lambda function requires exection and VPC access","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:*::foundation-model/anthropic.claude-3-7-sonnet-20250219-v1:0] Cross region claude access allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:*:051826721456:inference-profile/us.anthropic.claude-3-7-sonnet-20250219-v1:0] Cross region claude access allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::<ExscriboStorageWorkingS3BucketBC7C4ED2.Arn>/teams/*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] CDK Created Default Policy","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] CDK Created Default Policy","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::*] CDK Created Default Policy","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] StepFunction Lambda function requires exection and VPC access","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM4","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaVPCAccessExecutionRole] StepFunction Lambda function requires exection and VPC access","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:transcribe:us-east-1:051826721456:languagemodel/*] StepFunction Lambda function requires full access to Transcribe Service for jobs, custom models, vocabularies","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:transcribe:us-east-1:051826721456:vocabulary/*] StepFunction Lambda function requires full access to Transcribe Service for jobs, custom models, vocabularies","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:transcribe:us-east-1:051826721456:transcriptionjob/*] StepFunction Lambda function requires full access to Transcribe Service for jobs, custom models, vocabularies","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:*::foundation-model/anthropic.claude-3-7-sonnet-20250219-v1:0] Cross region claude access allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::arn:aws:bedrock:*:051826721456:inference-profile/us.anthropic.claude-3-7-sonnet-20250219-v1:0] Cross region claude access allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::<ExscriboStorageWorkingS3BucketBC7C4ED2.Arn>/teams/*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] CDK Created Default Policy","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] CDK Created Default Policy","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboSecurity/ExscriboStepFunctionLambdaRole/DefaultPolicy/Resource","Suppressed","[Resource::*] CDK Created Default Policy","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-COG2","ExscriboStack/ExscriboAuthentication/ExscriboUserPool/Resource","Suppressed","MFA is optional for this application","Warning","The Cognito user pool does not require MFA."
"AwsSolutions-IAM5","ExscriboStack/ExscriboAuthentication/CognitoDefaultAuthenticatedRole/DefaultPolicy/Resource","Suppressed","Authenticated role requires broad permissions as per Cognito documentation: https://docs.aws.amazon.com/cognito/latest/developerguide/iam-roles.html","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboAuthentication/CognitoDefaultAuthenticatedRole/DefaultPolicy/Resource","Suppressed","Authenticated role requires broad permissions as per Cognito documentation: https://docs.aws.amazon.com/cognito/latest/developerguide/iam-roles.html","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboAuthentication/CognitoDefaultAuthenticatedRole/DefaultPolicy/Resource","Suppressed","Authenticated role requires broad permissions as per Cognito documentation: https://docs.aws.amazon.com/cognito/latest/developerguide/iam-roles.html","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::kms:ReEncrypt*] CDK created role for StepFunction","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::kms:GenerateDataKey*] CDK created role for StepFunction","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetObject*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::s3:GetBucket*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::s3:List*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","ExscriboStack/ExscriboStorage/ExscriboTranscribeServiceRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] Storage access to S3 is required for a range of services","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
